Date,Name,Year,Letterboxd URI
2022-10-29,Bullet Train,2022,https://boxd.it/qW26
2022-11-14,Mamma Mia!,2008,https://boxd.it/1Tnq
2022-12-22,Bee Movie,2007,https://boxd.it/22Vw
2022-12-27,Avatar,2009,https://boxd.it/1Efm
2022-12-28,Avatar: The Way of Water,2022,https://boxd.it/2E2E
2022-12-29,Glass Onion,2022,https://boxd.it/oCkK
2022-12-31,Guillermo del Toro's Pinocchio,2022,https://boxd.it/kjMW
2023-01-18,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie
2023-01-23,Good Omens,2019,https://boxd.it/jUOI
2023-01-28,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY
2023-01-30,Ticket to Paradise,2022,https://boxd.it/u8Cc
2023-02-17,CODA,2021,https://boxd.it/tbf4
2023-02-22,"history of the entire world, i guess",2017,https://boxd.it/rQx0
2023-02-22,Ponyo,2008,https://boxd.it/1S0A
2023-03-08,Gladiator,2000,https://boxd.it/2b9m
2023-03-27,The Shape of Water,2017,https://boxd.it/dZ5m
2023-04-02,John Wick: Chapter 4,2023,https://boxd.it/mh48
2023-04-07,Spirited Away,2001,https://boxd.it/2b4m
2023-04-14,Princess Mononoke,1997,https://boxd.it/2b4w
2023-04-20,About Time,2013,https://boxd.it/43bI
2023-04-22,The Royal Tenenbaums,2001,https://boxd.it/1YHU
2023-04-30,Oldboy,2003,https://boxd.it/29R2
2023-05-01,Aftersun,2022,https://boxd.it/Arw0
2023-05-15,Mother's Day,1993,https://boxd.it/1Md4
2023-05-27,"Alice, Darling",2022,https://boxd.it/w5fS
2023-06-11,Chicken Run,2000,https://boxd.it/20Xg
2023-06-23,Pacific Rim,2013,https://boxd.it/2cB2
2023-07-12,The Darjeeling Limited,2007,https://boxd.it/24as
2023-07-12,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4
2023-07-15,Nimona,2023,https://boxd.it/Aiyc
2023-07-19,Lady Bird,2017,https://boxd.it/dGNE
2023-07-20,National Theatre Live: Fleabag,2019,https://boxd.it/mXOW
2023-07-20,Little Women,2019,https://boxd.it/aSVk
2023-07-21,Asteroid City,2023,https://boxd.it/s3ds
2023-07-22,Barbie,2023,https://boxd.it/bCLK
2023-07-30,Hellbound: Hellraiser II,1988,https://boxd.it/1ZfW
2023-08-01,Ratatouille,2007,https://boxd.it/27ww
2023-08-02,The Nice Guys,2016,https://boxd.it/94Hg
2023-08-03,Oppenheimer,2023,https://boxd.it/wUow
2023-09-05,Ford v Ferrari,2019,https://boxd.it/ce74
2023-09-12,Dracula,1931,https://boxd.it/2b34
2023-09-17,Shadow of the Vampire,2000,https://boxd.it/1Vb2
2023-09-17,Ed Wood,1994,https://boxd.it/2adM
2023-09-18,Glen or Glenda,1953,https://boxd.it/1yuq
2023-10-22,Howl's Moving Castle,2004,https://boxd.it/23De
2023-10-28,The Land Before Time,1988,https://boxd.it/1Sr2
