subject	predicate	object
person1327	ex:strongCastWith	person110
person1328	ex:strongCastWith	person110
person1330	ex:strongCastWith	person110
person2716	ex:strongCastWith	person1100
person110742	ex:strongCastWith	person11006
person115974	ex:strongCastWith	person11006
person206	ex:strongCastWith	person11006
person208677	ex:strongCastWith	person11006
person222121	ex:strongCastWith	person11006
person115974	ex:strongCastWith	person110742
person206	ex:strongCastWith	person110742
person208677	ex:strongCastWith	person110742
person222121	ex:strongCastWith	person110742
person1304661	ex:strongCastWith	person11356
person1304662	ex:strongCastWith	person11356
person17064	ex:strongCastWith	person11356
person19923	ex:strongCastWith	person11356
person477	ex:strongCastWith	person11356
person15277	ex:strongCastWith	person1136406
person1649152	ex:strongCastWith	person1136406
person505710	ex:strongCastWith	person1136406
person116	ex:strongCastWith	person114
person1327	ex:strongCastWith	person114
person1709	ex:strongCastWith	person114
person1710	ex:strongCastWith	person114
person1711	ex:strongCastWith	person114
person378	ex:strongCastWith	person114
person85	ex:strongCastWith	person114
person1920	ex:strongCastWith	person11514
person206	ex:strongCastWith	person115974
person208677	ex:strongCastWith	person115974
person222121	ex:strongCastWith	person115974
person1709	ex:strongCastWith	person116
person1710	ex:strongCastWith	person116
person1711	ex:strongCastWith	person116
person378	ex:strongCastWith	person116
person85	ex:strongCastWith	person116
person140	ex:strongCastWith	person11701
person18897	ex:strongCastWith	person11701
person19274	ex:strongCastWith	person11701
person212	ex:strongCastWith	person11701
person4483	ex:strongCastWith	person11701
person70851	ex:strongCastWith	person11701
person2449	ex:strongCastWith	person118
person85	ex:strongCastWith	person118
person1222060	ex:strongCastWith	person119143
person144655	ex:strongCastWith	person119143
person149894	ex:strongCastWith	person119143
person84507	ex:strongCastWith	person119143
person93803	ex:strongCastWith	person119143
person9705	ex:strongCastWith	person119143
person3223	ex:strongCastWith	person12052
person6941	ex:strongCastWith	person12073
person776	ex:strongCastWith	person12073
person16483	ex:strongCastWith	person12132
person40325	ex:strongCastWith	person1221099
