Date,Name,Year,Letterboxd URI,Rating
2022-08-22,"Love, Death & Robots: Mason's Rats",2022,https://boxd.it/AW76,4
2022-08-22,"Love, Death & Robots: In Vaulted Halls Entombed",2022,https://boxd.it/AW7A,2
2022-08-22,"Love, Death & Robots: Jibaro",2022,https://boxd.it/EqO6,2.5
2022-08-23,"Love, Death & Robots: Automated Customer Service",2021,https://boxd.it/vhLk,3
2022-08-23,"Love, Death & Robots: Ice",2021,https://boxd.it/vhLu,3.5
2022-08-23,"Love, Death & Robots: Pop Squad",2021,https://boxd.it/vhLE,4
2022-08-23,"Love, Death & Robots: Snow in the Desert",2021,https://boxd.it/vhLO,3
2022-08-24,Good Time,2017,https://boxd.it/fcFu,3.5
2022-08-26,"Love, Death & Robots: The Tall Grass",2021,https://boxd.it/vdQU,3.5
2022-08-26,"Love, Death & Robots: All Through the House",2021,https://boxd.it/vhXA,5
2022-08-26,"Love, Death & Robots: Life Hutch",2021,https://boxd.it/vdRe,4
2022-08-26,"Love, Death & Robots: The Drowned Giant",2021,https://boxd.it/vdRo,3.5
2022-08-28,Inception,2010,https://boxd.it/1skk,4
2022-08-31,Enola Holmes,2020,https://boxd.it/hX2o,3.5
2022-09-01,Nope,2022,https://boxd.it/sDCe,3
2022-09-11,The Imitation Game,2014,https://boxd.it/6aig,2.5
2022-09-16,The Drowning of Arthur Braxton,2021,https://boxd.it/bRJY,3.5
2022-10-09,Midnight Mass,2021,https://boxd.it/wvVA,5
2022-10-10,Hellraiser,2022,https://boxd.it/bg7S,3.5
2022-10-14,Red Notice,2021,https://boxd.it/ixtq,1
2022-10-29,Bullet Train,2022,https://boxd.it/qW26,5
2022-11-14,Mamma Mia!,2008,https://boxd.it/1Tnq,4
2022-12-22,Bee Movie,2007,https://boxd.it/22Vw,1
2022-12-27,Avatar,2009,https://boxd.it/1Efm,3.5
2022-12-28,Avatar: The Way of Water,2022,https://boxd.it/2E2E,4
2022-12-29,Glass Onion,2022,https://boxd.it/oCkK,3.5
2022-12-31,Guillermo del Toro's Pinocchio,2022,https://boxd.it/kjMW,5
2023-01-03,Inside Man,2022,https://boxd.it/Ay6I,1.5
2023-01-05,Jumanji: Welcome to the Jungle,2017,https://boxd.it/bUeE,2.5
2023-01-18,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie,4
2023-01-19,The Menu,2022,https://boxd.it/lScm,2
2023-01-23,Good Omens,2019,https://boxd.it/jUOI,4.5
2023-01-28,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,5
2023-01-30,Ticket to Paradise,2022,https://boxd.it/u8Cc,3.5
2023-01-31,The Banshees of Inisherin,2022,https://boxd.it/p7XS,3.5
2023-02-05,All My Life,2020,https://boxd.it/nrnG,3
2023-02-17,CODA,2021,https://boxd.it/tbf4,4
2023-02-22,Ponyo,2008,https://boxd.it/1S0A,5
2023-03-08,Gladiator,2000,https://boxd.it/2b9m,4
2023-03-27,The Shape of Water,2017,https://boxd.it/dZ5m,5
2023-04-09,John Wick: Chapter 4,2023,https://boxd.it/mh48,5
2023-04-14,Princess Mononoke,1997,https://boxd.it/2b4w,5
2023-04-20,About Time,2013,https://boxd.it/43bI,5
2023-04-22,The Royal Tenenbaums,2001,https://boxd.it/1YHU,4.5
2023-04-23,"Good Bye, Lenin!",2003,https://boxd.it/2ayA,3
2023-04-27,Gamera: Guardian of the Universe,1995,https://boxd.it/uiy,3
2023-04-28,The Super Mario Bros. Movie,2023,https://boxd.it/i8C8,3
2023-04-30,Oldboy,2003,https://boxd.it/29R2,4.5
2023-05-01,Aftersun,2022,https://boxd.it/Arw0,4
2023-05-15,Mother's Day,1993,https://boxd.it/1Md4,3
2023-05-27,"Alice, Darling",2022,https://boxd.it/w5fS,4
2023-05-27,The Inbetweeners Movie,2011,https://boxd.it/2v50,1
2023-06-09,The Pirates! In an Adventure with Scientists!,2012,https://boxd.it/2p1w,3
2023-06-11,Chicken Run,2000,https://boxd.it/20Xg,4
2023-06-14,Puppy Swap: Love Unleashed,2019,https://boxd.it/mOzy,0.5
2023-06-23,Pacific Rim,2013,https://boxd.it/2cB2,4
2023-07-12,The Darjeeling Limited,2007,https://boxd.it/24as,4
2023-07-12,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,4
2023-07-15,Nimona,2023,https://boxd.it/Aiyc,5
2023-07-19,Lady Bird,2017,https://boxd.it/dGNE,4.5
2023-07-20,National Theatre Live: Fleabag,2019,https://boxd.it/mXOW,5
2023-07-20,Little Women,2019,https://boxd.it/aSVk,4.5
