Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-11-03,War of the Worlds,2005,https://boxd.it/2fZ7q9,4,,"I really don’t get why people don’t like this, the only real negative thing I could find is that it’s weirdly pro military, but apart from that it’s a very effective alien invasion movie from a the perspective of someone who’s living in it and knows nothing. (which is much more appealing to me than when it’s from some government‘s perspective)

Also: A few (maybe a bit spoilering) words on the ending:
It has one huge logical flaw, but makes perfect sense otherwise. I just don’t get how the aliens weren’t aware of BLANK, when they really should have been. but that BLANK is an issue and a real threat  should not be up to debate.",,2021-11-01
2021-11-05,Love and Monsters,2020,https://boxd.it/2gcsM7,4.5,,Boy is the reason for at least half those stars,,2021-11-03
2021-11-06,The French Dispatch,2021,https://boxd.it/2gmHpd,5,,"I loved every little second of it, and let me just say: the soundtrack 🥰🥰🥰

I just know that I’m gonna watch this one many many times",wesanderson,2021-11-05
2021-11-15,The French Dispatch,2021,https://boxd.it/2hQS3h,4,Yes,"I still love this movie a whole lot, but upon second watching I’m deciding to take one star away to bring this rating more in line with my other anderson rankings",wesanderson,2021-11-14
2021-11-20,We're the Millers,2013,https://boxd.it/2iwWIx,3,,"it was fine, it entertained me, not a standout tho thats why i’m not giving a higher rating",,2021-11-17
2021-11-21,The Lego Batman Movie,2017,https://boxd.it/2iLoar,4.5,,"holy shit this has absolutely no business being as good as it is I am going crazy over this right now
the emotional depth? the humor? top 3 batman movies EASILY",,2021-11-21
2021-11-22,Arrival,2016,https://boxd.it/2iWThZ,5,Yes,"I had absolutely no idea what I was getting into when I went to see this in cinema with my dad in 2016, I was expecting a standard alien attack film. I was pleasantly surprised.
this movie is an absolute masterpiece and deserves every single one of it’s stars, and it’s certainly one of the movies that had the biggest impact on my life. this is the one that got me interested in linguistics.
If I could give this movie more than 5 stars I would",,2021-11-22
2021-11-23,American Psycho,2000,https://boxd.it/2j5ORB,2,,"it IS very quotable, it just wasn’t doing it for me. I feel bad for giving it this rating since everyone seems to love this movie but oh well
(the business card scene was hilarious tho)",,2021-11-23
2021-11-24,The Matrix,1999,https://boxd.it/2jeIE5,4.5,Yes,"rewatched this the first time since I learned about that it was meant to be a trans allegory and boy was that obvious in retrospect, how did I never notice before

also: agent smith is so iconic. like so iconic. thank god for hugo weaving.",,2021-11-24
2021-11-25,"tick, tick... BOOM!",2021,https://boxd.it/2jlnMr,3.5,,"all the power to andrew garfield bc he acted and sung the hell out of this role, but lin-manuel miranda casting him as the LEAD in a MUSICAL before he even properly learned to sing is absolute batshit crazy",,2021-11-24
2021-11-27,The Tomorrow War,2021,https://boxd.it/2jFAW5,1,,"this film wants to be edge of tomorrow sooo badly

i had to turn it off 2/3 in bc it bored the hell out of me, that fact alone probably warrants a 1 star rating

cool alien design tho",,2021-11-27
2021-12-05,Surf's Up,2007,https://boxd.it/2kSrMl,4,,I wish more animated movies had the guts to break free from the established formula once in a while dude,,
2021-12-06,Krampus,2015,https://boxd.it/2l3hov,3,,"very accurate, believe it or not this is what happens every year in Austria

also today is Krampus day, happy Krampus!!",,2021-12-05
2021-12-07,Adam Sandler: 100% Fresh,2018,https://boxd.it/2ld7mf,1.5,,kinda embarrassing even logging this,,2021-12-07
2021-12-07,Frankenweenie,2012,https://boxd.it/2ldhbV,5,,"I’m just thinking about this movie again. I watched this for the first time when my dog was incredibly sick, only a few days before he died. rip rocky, I miss you a whole lot :(",,2019-12-09
2021-12-21,The Witcher: Nightmare of the Wolf,2021,https://boxd.it/2nx35H,3.5,,caillou geralt,,2021-12-20
2021-12-24,The Witcher Season One Recap: From the Beginning,2021,https://boxd.it/2o2pd1,,,‘twas a good recap,,2021-12-21
2021-12-24,Making The Witcher: Season 2,2021,https://boxd.it/2o2qT3,,,I love this world so much I can’t wait for the spin-off show,,2021-12-24
2021-12-25,Coco,2017,https://boxd.it/2ohOlT,3.5,,"I’m crying and i’m sobbing and this might has very personal reasons but that’s okay 
I‘m not used to dealing with death. this movie made it a little bit easier",,2021-12-25
2021-12-27,Spider-Man,2002,https://boxd.it/2oMI9f,3,,"MJ, standing 3m away from Peter in a Spiderman costume without the face mask on: „I‘ve never seen this man in my whole life“",marvel,2021-12-26
2021-12-28,Spider-Man 2,2004,https://boxd.it/2p1tj5,4,,"Love me some emotional depth! The villain’s motivation is still a bit shallow, like with the first one, but really like the ending and it‘s got me excited for the 3rd one!
(also, can we talk about how amazingly done the slapstick in both the first and this one is?)",,2021-12-27
2021-12-29,Spider-Man 3,2007,https://boxd.it/2pjZTP,3.5,,"honest to god, I don’t see where the hate comes from. okay, this movie is illogical as fuck but the other 2 had their liberties with logic as well? it’s equally as funny as its predecessors, and the story is great (even if plagued by the illogicalities)
scratch the harry plot and you’ve got a good movie. I definitely enjoyed it.",,2021-12-29
2021-12-31,Encanto,2021,https://boxd.it/2pRSiv,4,,"My one complaint is that it was too short and therefore sadly has some underdeveloped characters. All family members have incredible potential, but unfortunately some of their story arcs seem rushed (honestly everyone‘s except for Mirabel‘s. I wish we would’ve spent more time with Luisa)
Everything else about this movie is amazing. The (aforementioned) character, the story, and especially the music. LMM rocks.",,2021-12-30
2022-01-03,The Amazing Spider-Man,2012,https://boxd.it/2qMDox,2,,"*me trying to explain to Peter Parker how I support Dr. Connors bc I too wanna be a lizard*: „So what if he’s the devil, Peter? At least the devil has a job. At least he‘s active in the community. What do you do?“",,2022-01-02
2022-01-14,Antlers,2021,https://boxd.it/2tEL71,3,,"PHENOMENAL first act, sadly fell flat after that
the creature design is also a 10/10",,2022-01-14
2022-01-20,The House,2022,https://boxd.it/2v5DCN,4,,"god I am such a sucker for stop motion, and the animation in this was STELLAR, I'd love to see a behind the scenes!
I haven't fully grasped what this was truly about to be honest, might need a rewatch","animation, stop motion",
2022-01-25,The Conference,2022,https://boxd.it/2w884P,4.5,,"You‘re aware of everything that happened afterwards and still, it’s shocking to the highest degree. The dissonance between the tragedy of the topic and the banality in tone of everyone involved. Fantastic movie, leaves you with a severe distaste.",,2022-01-24
2022-01-28,Another Round,2020,https://boxd.it/2wGSZF,5,,"As someone who grew up in a country with a very low drinking age (16), this movie hits home. And it showcases both sides perfectly. I’ve experienced both myself. The energy and fun of drinking, the low of waking up and not remembering a thing from last night. The positive effect it does have on my confidence, the shame of having to go to the hospital bc you tripped and hurt yourself bc you really had too many once. It’s two sides of the same coin. Alcohol is poison, and alcohol is a blessing. The truth lies in the middle, and I believe that’s the point the movie’s trying to make as well.

(watched with German dub)",,2022-01-27
2022-02-15,Man of Steel,2013,https://boxd.it/2A6uUv,3,,If i were a human in this movie i would hate everything krypton including superman with a passion,dceu,2022-02-15
